"COUNTY","AverageEvictionFilingsPer1000Households"
"Adair",11.0306790761806
"Adams",NA
"Allamakee",13.5249366018597
"Appanoose",16.7364016736402
"Audubon",5.45634920634921
"Benton",24.5595301655099
"Black Hawk",54.806975433237
"Boone",31.5372648847405
"Bremer",10.1999184006528
"Buchanan",24.0913811007269
"Buena Vista",NA
"Butler",6.44237652111668
"Calhoun",NA
"Carroll",9.86576095746401
"Cass",9.51199338296112
"Cedar",11.1566484517304
"Cerro Gordo",8.11084825954715
"Cherokee",8.38725137790558
"Chickasaw",9.82532751091703
"Clarke",NA
"Clay",12.09341117598
"Clayton",6.12684219241596
"Clinton",39.1183478951549
"Crawford",8.52514919011083
"Dallas",34.7808400284755
"Davis",14.9965916837082
"Decatur",NA
"Delaware",10.1694915254237
"Des Moines",29.3484640970456
"Dickinson",14.2070680163381
"Dubuque",38.2231740160291
"Emmet",2.35017626321974
"Fayette",17.4446016030174
"Floyd",17.1356421356421
"Franklin",21.5227333871402
"Fremont",5.32945736434108
"Greene",1.82648401826484
"Grundy",11.4942528735632
"Guthrie",14.7000397298371
"Hamilton",16.7417900837089
"Hancock",6.45599728168535
"Hardin",10.7353730542136
"Harrison",1.04231811548885
"Henry",24.9797242497972
"Howard",15.1869158878505
"Humboldt",18.0094786729858
"Ida",8.28729281767956
"Iowa",14.5705521472393
"Jackson",15.5583972719523
"Jasper",31.0413282800938
"Jefferson",31.0300703774792
"Johnson",23.3565166413516
"Jones",27.7619319262217
"Keokuk",20.8997520368402
"Kossuth",5.93119810201661
"Lee",28.0908928251923
"Linn",58.9204779563247
"Louisa",NA
"Lucas",NA
"Lyon",8.94187779433681
"Madison",14.1636141636142
"Mahaska",18.7645687645688
"Marion",19.3100862392201
"Marshall",38.2185236554169
"Mills",14.302393461763
"Mitchell",10.1351351351351
"Monona",NA
"Monroe",20.4761904761905
"Montgomery",21.7391304347826
"Muscatine",26.1067861917119
"O'brien",NA
"O'Brien",NA
"Osceola",9.25925925925926
"Page",11.5364446775039
"Palo Alto",NA
"Plymouth",9.72627483673753
"Pocahontas",6.29779577147998
"Polk",85.2746415130294
"Pottawattamie",57.4482878498175
"Poweshiek",18.2025028441411
"Ringgold",8.63930885529158
"Sac",4.0650406504065
"Scott",63.2155383495467
"Shelby",9.43396226415094
"Sioux",4.06333193218439
"Story",17.7903704560349
"Tama",15.5183116076971
"Taylor",14.0350877192982
"Union",19.6759259259259
"Van Buren",14.0350877192982
"Wapello",34.1788478073947
"Warren",NA
"Washington",9.24591738712776
"Wayne",NA
"Webster",34.9989884685414
"Winnebago",14.2195767195767
"Winneshiek",6.04063701263042
"Woodbury",49.1786314836373
"Worth",16.3098878695209
"Wright",11.1111111111111
